track_id,wcsr,correct_duration,total_duration,num_predictions,num_ground_truth
12_-_Let_It_Be/10_-_The_Long_and_Winding_Road,0.7173875711702802,143.7020393265306,200.312976,127,86
12_-_Let_It_Be/08_-_I've_Got_A_Feeling,0.7483581265657193,120.82151027891163,161.44878500000004,106,115
12_-_Let_It_Be/06_-_Let_It_Be,0.6675773208993616,160.2392759455782,240.031036,169,158
12_-_Let_It_Be/02_-_Dig_a_Pony,0.6064359566365847,130.33941415646257,214.926923,123,81
11_-_Abbey_Road/14_-_Golden_Slumbers,0.6340238495366621,56.889620326530626,89.72788700000001,31,30
11_-_Abbey_Road/09_-_You_Never_Give_Me_Your_Money,0.6479472883783416,136.72835169841267,211.01770799999997,192,109
11_-_Abbey_Road/11_-_Mean_Mr_Mustard,0.6532425738804754,43.30918307936509,66.298776,41,33
11_-_Abbey_Road/07_-_Here_Comes_The_Sun,0.7733130825092299,137.38960936507928,177.66362999999998,108,121
11_-_Abbey_Road/16_-_The_End,0.6806280545383235,65.78866445351477,96.65876099999998,75,51
11_-_Abbey_Road/04_-_Oh!_Darling,0.3722635335905942,75.88423459637194,203.845469,206,66
11_-_Abbey_Road/08_-_Because,0.613890532858306,100.71287524036282,164.05673299999998,110,47
11_-_Abbey_Road/01_-_Come_Together,0.5649153054566983,143.302193770975,253.670227,194,33
05_-_Help!/13_-_Yesterday,0.6184455336677916,71.09027204081636,114.94993199999999,68,85
"10CD1_-_The_Beatles/CD1_-_04_-_Ob-La-Di,_Ob-La-Da",0.6929640769378896,126.25487896371888,182.195417,79,97
10CD1_-_The_Beatles/CD1_-_11_-_Black_Bird,0.4642229028716397,57.18597698412694,123.186462,72,109
06_-_Rubber_Soul/09_-_Girl,0.4686121465345212,69.29270901814061,147.867932,95,91
06_-_Rubber_Soul/02_-_Norwegian_Wood_(This_Bird_Has_Flown),0.6649064218665653,81.26433295011338,122.219203,60,43
06_-_Rubber_Soul/11_-_In_My_Life,0.8353313074063513,119.75156339682545,143.358165,78,78
03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her,0.4592477273652105,67.02058483446706,145.935583,101,58
07_-_Revolver/03_-_I'm_Only_Sleeping,0.426226459288564,74.98890994557813,175.936778,115,82
07_-_Revolver/10_-_For_No_One,0.7079470927936893,69.76510500907024,98.545648,93,54
01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There,0.7808241382403027,132.01776777551018,169.074906,85,60
