time_s,ref_label,pred_label,match
0.0,N,E:maj,0
0.046439909297052155,N,E:maj,0
0.09287981859410431,N,E:maj,0
0.13931972789115646,N,E:maj,0
0.18575963718820862,C:maj,E:maj,0
0.23219954648526078,C:maj,E:maj,0
0.2786394557823129,C:maj,E:maj,0
0.3250793650793651,C:maj,E:maj,0
0.37151927437641724,C:maj,E:maj,0
0.4179591836734694,C:maj,E:maj,0
0.46439909297052157,C:maj,E:maj,0
0.5108390022675737,C:maj,E:maj,0
0.5572789115646258,C:maj,E:maj,0
0.603718820861678,C:maj,E:maj,0
0.6501587301587302,C:maj,E:maj,0
0.6965986394557823,C:maj,E:maj,0
0.7430385487528345,C:maj,E:maj,0
0.7894784580498866,C:maj,E:maj,0
0.8359183673469388,C:maj,E:maj,0
0.8823582766439909,C:maj,E:maj,0
0.9287981859410431,C:maj,E:maj,0
0.9752380952380952,C:maj,E:maj,0
1.0216780045351475,C:maj,E:maj,0
1.0681179138321995,C:maj,E:maj,0
1.1145578231292517,C:maj,E:maj,0
1.1609977324263039,C:maj,E:maj,0
1.207437641723356,C:maj,E:maj,0
1.253877551020408,C:maj,E:maj,0
1.3003174603174603,C:maj,E:maj,0
1.3467573696145125,C:maj,E:maj,0
1.3931972789115645,C:maj,E:maj,0
1.4396371882086167,C:maj,E:maj,0
1.486077097505669,C:maj,E:maj,0
1.5325170068027212,C:maj,E:maj,0
1.5789569160997732,C:maj,E:maj,0
1.6253968253968254,C:maj,E:maj,0
1.6718367346938776,C:maj,E:maj,0
1.7182766439909296,C:maj,G:maj,0
1.7647165532879818,C:maj,G:maj,0
1.811156462585034,C:maj,G:maj,0
1.8575963718820863,G:maj,G:maj,1
1.9040362811791383,G:maj,G:maj,1
1.9504761904761905,G:maj,G:maj,1
1.9969160997732427,G:maj,G:maj,1
2.043356009070295,G:maj,G:maj,1
2.089795918367347,G:maj,G:maj,1
2.136235827664399,G:maj,G:maj,1
2.182675736961451,G:maj,G:maj,1
2.2291156462585033,G:maj,G:maj,1
2.2755555555555556,G:maj,G:maj,1
2.3219954648526078,G:maj,G:maj,1
2.36843537414966,G:maj,G:maj,1
2.414875283446712,G:maj,G:maj,1
2.461315192743764,G:maj,G:maj,1
2.507755102040816,G:maj,G:maj,1
2.5541950113378684,G:maj,G:maj,1
2.6006349206349206,G:maj,G:maj,1
2.647074829931973,G:maj,G:maj,1
2.693514739229025,G:maj,G:maj,1
2.7399546485260773,G:maj,G:maj,1
2.786394557823129,G:maj,G:maj,1
2.8328344671201813,G:maj,G:maj,1
2.8792743764172335,G:maj,F:maj,0
2.9257142857142857,G:maj,F:maj,0
2.972154195011338,G:maj,F:maj,0
3.01859410430839,G:maj,F:maj,0
3.0650340136054424,G:maj,F:maj,0
3.111473922902494,G:maj,F:maj,0
3.1579138321995464,G:maj,F:maj,0
3.2043537414965986,G:maj,F:maj,0
3.250793650793651,G:maj,F:maj,0
3.297233560090703,G:maj,F:maj,0
3.3436734693877552,G:maj,F:maj,0
3.3901133786848074,G:maj,F:maj,0
3.436553287981859,G:maj,E:maj,0
3.4829931972789114,A:min,E:maj,0
3.5294331065759637,A:min,E:maj,0
3.575873015873016,A:min,E:maj,0
3.622312925170068,A:min,E:maj,0
3.6687528344671203,A:min,E:maj,0
3.7151927437641725,A:min,E:maj,0
3.7616326530612243,A:min,E:maj,0
3.8080725623582765,A:min,E:maj,0
3.8545124716553287,A:min,E:maj,0
3.900952380952381,A:min,E:maj,0
3.947392290249433,A:min,E:maj,0
3.9938321995464854,A:min,E:maj,0
